pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,20,20,6,x,1,0.5251728739967803,None,,,,,6,20,20,0,309.68057029099145,,309.6691433329979,309.68057029099145,310.66707158299687,310.66707158299687,310.66707158299687,310.66707158299687,310.6734401249996,311.6669682079955,311.6669682079955,312.2049330000009,,,,,x,1,0.5251728739967803,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-150,z,21,21,6,z,1,0.8057133319962304,None,,,,,6,21,21,3,312.21626970799116,,312.20554104099574,312.21626970799116,313.2004328329931,313.2004328329931,313.2004328329931,313.2004328329931,313.2072079159989,314.2003841249971,314.2003841249971,315.0078121659899,,,,,z,1,0.8057133319962304,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-150,z,22,22,7,z,1,0.6527104999986477,None,,,,,7,22,22,3,315.0188497079944,,315.0082914999948,315.0188497079944,316.00722870799655,316.00722870799655,316.00722870799655,316.00722870799655,316.0169061659981,317.007125499993,317.007125499993,317.6684957499965,,,,,z,1,0.6527104999986477,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-150,z,23,23,8,z,1,0.45186312499572523,None,,,,,8,23,23,3,317.68028104100085,,317.6690696250007,317.68028104100085,318.66732179099927,318.66732179099927,318.66732179099927,318.66732179099927,318.67465683299815,319.6669289999991,319.6669289999991,320.1248794999992,,,,,z,1,0.45186312499572523,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-150,z,24,24,9,z,1,0.48575004099984653,None,,,,,9,24,24,3,320.13610608299496,,320.12538991599286,320.13610608299496,321.12411191599676,321.12411191599676,321.12411191599676,321.12411191599676,321.1337315830024,322.12394170799234,322.12394170799234,322.6187402499927,,,,,z,1,0.48575004099984653,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,25,25,3,v,1,0.8166354990098625,None,,,,,3,25,25,1,322.6310148749908,,322.61953870799334,322.6310148749908,323.6173119159939,323.6173119159939,323.6173119159939,323.6173119159939,323.623972040994,324.6169568329933,324.6169568329933,325.43554216600023,,,,,v,1,0.8166354990098625,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,26,26,4,v,1,0.3939590829977533,None,,,,,4,26,26,1,325.4482911660016,,325.4365442080016,325.4482911660016,326.4337897910009,326.4337897910009,326.4337897910009,326.4337897910009,326.4407168329926,327.4335852910008,327.4335852910008,327.83527191600297,,,,,v,1,0.3939590829977533,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,27,27,5,c,0,0.8130618329887511,None,,,,,5,27,27,2,327.84759837499587,,327.8360764999961,327.84759837499587,328.8517552909907,328.8517552909907,328.8517552909907,328.8517552909907,328.8517552909907,329.8335603329906,329.8335603329906,330.6520727909956,,,,,c,0,0.8130618329887511,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-50,x,28,28,7,x,1,0.8040597070066724,None,,,,,7,28,28,0,330.6646104579995,,330.65294370800257,330.6646104579995,331.6501840830024,331.6501840830024,331.6501840830024,331.6501840830024,331.655631540998,332.65027537499554,332.65027537499554,333.457846958001,,,,,x,1,0.8040597070066724,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,29,29,6,c,0,0.8713180410122732,None,,,,,6,29,29,2,333.4690170829999,,333.458487040989,333.4690170829999,334.4575187909941,334.4575187909941,334.4575187909941,334.4575187909941,334.46705808299885,335.45808737499465,335.45808737499465,336.3353332080005,,,,,c,0,0.8713180410122732,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,30,30,5,v,1,0.7528651659958996,None,,,,,5,30,30,1,336.3474833329965,,336.33609241599333,336.3474833329965,337.3335760409973,337.3335760409973,337.3335760409973,337.3335760409973,337.33907383299083,338.33342516599805,338.33342516599805,339.09181033298955,,,,,v,1,0.7528651659958996,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-50,x,31,31,8,x,1,0.7738318319898099,None,,,,,8,31,31,0,339.1023797499947,,339.0922939579905,339.1023797499947,340.09042383299675,340.09042383299675,340.09042383299675,340.09042383299675,340.10023899999214,341.08633083300083,341.08633083300083,341.86861487499846,,,,,x,1,0.7738318319898099,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,32,32,7,c,0,0.7016561240016017,None,,,,,7,32,32,2,341.8810308749962,,341.8692713329947,341.8810308749962,342.8668803329929,342.8668803329929,342.8668803329929,342.8668803329929,342.87291779099905,343.86728137500177,343.86728137500177,344.5744715829933,,,,,c,0,0.7016561240016017,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,33,33,8,c,0,0.568354040995473,None,,,,,8,33,33,2,344.58612883299065,,344.5750149999949,344.58612883299065,345.57421491599234,345.57421491599234,345.57421491599234,345.57421491599234,345.5836171659903,346.5736989579891,346.5736989579891,347.15168262500083,,,,,c,0,0.568354040995473,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,34,34,6,v,1,0.7677702069922816,None,,,,,6,34,34,1,347.16322058299556,,347.1522529999929,347.16322058299556,348.15055633299926,348.15055633299926,348.15055633299926,348.15055633299926,348.15724883299845,349.1501506659988,349.1501506659988,349.9245976660022,,,,,v,1,0.7677702069922816,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-150,z,35,35,10,z,1,0.8062898750067689,None,,,,,10,35,35,3,349.9360949999973,,349.9252082909952,349.9360949999973,350.92386387499573,350.92386387499573,350.92386387499573,350.92386387499573,350.9334954579972,351.92372466599045,351.92372466599045,352.7352947499894,,,,,z,1,0.8062898750067689,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,36,36,9,c,0,0.7374287490092684,None,,,,,9,36,36,2,352.74773370799085,,352.73605549999047,352.74773370799085,353.7331985409983,353.7331985409983,353.7331985409983,353.7331985409983,353.74000674999843,354.7333937499934,354.7333937499934,355.4746452499967,,,,,c,0,0.7374287490092684,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-150,z,37,37,11,z,1,0.8093192490050569,None,,,,,11,37,37,3,355.48657887500303,,355.47513166599674,355.48657887500303,356.47389912499057,356.47389912499057,356.47389912499057,356.47389912499057,356.4841418750002,357.4733529579971,357.4733529579971,358.28532287500275,,,,,z,1,0.8093192490050569,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-50,x,38,38,9,x,1,0.7210793749982258,None,,,,,9,38,38,0,358.29748783299874,,358.2861656659952,358.29748783299874,359.283541124998,359.283541124998,359.283541124998,359.283541124998,359.28998804099683,360.28353233299276,360.28353233299276,361.00753941599396,,,,,x,1,0.7210793749982258,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,39,39,7,v,1,0.8051835829974152,None,,,,,7,39,39,1,361.0191662500001,,361.0081242909946,361.0191662500001,362.00743520799733,362.00743520799733,362.00743520799733,362.00743520799733,362.0167855829932,363.007343958001,363.007343958001,363.8185217499995,,,,,v,1,0.8051835829974152,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-50,x,40,40,10,x,1,0.8925333329971181,None,,,,,10,40,40,0,363.8308068329934,,363.81930837499385,363.8308068329934,364.81688383300207,364.81688383300207,364.81688383300207,364.81688383300207,364.8232106249925,365.8168954580033,365.8168954580033,366.71853720799845,,,,,x,1,0.8925333329971181,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-50,x,41,41,11,x,1,0.6684392489987658,None,,,,,11,41,41,0,366.73344141599955,,366.7199368750007,366.73344141599955,367.71683454100275,367.71683454100275,367.71683454100275,367.71683454100275,367.7229618749989,368.7168673749984,368.7168673749984,369.39156362500216,,,,,x,1,0.6684392489987658,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,42,42,8,v,1,0.8464790410071146,None,,,,,8,42,42,1,369.40276370799984,,369.3921512079978,369.40276370799984,370.3905101249984,370.3905101249984,370.3905101249984,370.3905101249984,370.4002492909931,371.3908029579907,371.3908029579907,372.25593629099603,,,,,v,1,0.8464790410071146,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-50,x,43,43,12,x,1,0.9720057489903411,None,,,,,12,43,43,0,372.2656540409953,,372.25662037500297,372.2656540409953,373.2566786660027,373.2566786660027,373.2566786660027,373.2566786660027,373.2566786660027,374.25020833298913,374.25020833298913,375.2244746249926,,,,,x,1,0.9720057489903411,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,44,44,9,v,1,0.8279007489909418,None,,,,,9,44,44,1,375.23552283299796,,375.2249894159904,375.23552283299796,376.2241176660027,376.2241176660027,376.2241176660027,376.2241176660027,376.23341766599333,377.22418141599337,377.22418141599337,378.05798408300325,,,,,v,1,0.8279007489909418,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,45,45,10,v,1,0.8206065819977084,None,,,,,10,45,45,1,378.0732959159941,,378.0603953329992,378.0732959159941,379.05679741599306,379.05679741599306,379.05679741599306,379.05679741599306,379.0668527499947,380.05638916599855,380.05638916599855,380.88812170799065,,,,,v,1,0.8206065819977084,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-50,x,46,46,13,x,1,0.7763591249968158,None,,,,,13,46,46,0,380.9000089579931,,380.8884147909994,380.9000089579931,381.88322337499994,381.88322337499994,381.88322337499994,381.88322337499994,381.8902315000014,382.88354874998913,382.88354874998913,383.66820949999965,,,,,x,1,0.7763591249968158,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,47,47,10,c,0,0.7275389159913175,None,,,,,10,47,47,2,383.6795652909932,,383.6687993749947,383.6795652909932,384.66674674999376,384.66674674999376,384.66674674999376,384.66674674999376,384.6728709579911,385.6603404159978,385.6603404159978,386.3909204579977,,,,,c,0,0.7275389159913175,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-50,x,48,48,14,x,1,0.7567374579957686,None,,,,,14,48,48,0,386.40229695799644,,386.3914108750032,386.40229695799644,387.39076266599295,387.39076266599295,387.39076266599295,387.39076266599295,387.3999402909976,388.3861293749942,388.3861293749942,389.15199287499127,,,,,x,1,0.7567374579957686,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-150,z,49,49,12,z,1,0.7697638740064576,None,,,,,12,49,49,3,389.1632650829997,,389.1526931249973,389.1632650829997,390.1502177499933,390.1502177499933,390.1502177499933,390.1502177499933,390.1556072910025,391.1500647079956,391.1500647079956,391.9239915829967,,,,,z,1,0.7697638740064576,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-50,x,50,50,15,x,1,0.6828590820077807,None,,,,,15,50,50,0,391.93600983299257,,391.92461116600316,391.93600983299257,392.9241929159907,392.9241929159907,392.9241929159907,392.9241929159907,392.9333845410001,393.9227430829924,393.9227430829924,394.60701712500304,,,,,x,1,0.6828590820077807,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,51,51,11,v,1,0.7883969999966212,None,,,,,11,51,51,1,394.6166642909957,,394.6075129160017,394.6166642909957,395.607019624993,395.607019624993,395.607019624993,395.607019624993,395.607019624993,396.60006529100065,396.60006529100065,397.39052862499375,,,,,v,1,0.7883969999966212,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,52,52,12,v,1,0.7582330000004731,None,,,,,12,52,52,1,397.40009049999935,,397.3910318749986,397.40009049999935,398.39057466600207,398.39057466600207,398.39057466600207,398.39057466600207,398.39057466600207,399.38328266599274,399.38328266599274,400.1516332500032,,,,,v,1,0.7582330000004731,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,53,53,11,c,0,0.8972418740013381,None,,,,,11,53,53,2,400.16373170800216,,400.1523010410019,400.16373170800216,401.14995399999316,401.14995399999316,401.14995399999316,401.14995399999316,401.15580858298927,402.1500803329982,402.1500803329982,403.05148483299126,,,,,c,0,0.8972418740013381,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
